clip_id,action_id,action_name,user_id,trial_id,Depth_Color_path,Depth_Color_length,IR_path,IR_length,Thermal_path,Thermal_length,Skeleton_path,Skeleton_length,IMU_path,IMU_length,Radar_path,Radar_length,has_Depth_Color,has_IR,has_Thermal,has_Skeleton,has_IMU,has_Radar
0_user21_1-1-2,0,Wash_face,user21,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\1-1-2,10,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\1-1-2,10,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\1-1-2,25,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\1-1-2,10,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\1-1-2,1,1,1,1,1,1,1
0_user21_1-1-3,0,Wash_face,user21,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\1-1-3,5,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\1-1-3,5,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\1-1-3,13,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\1-1-3,5,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\1-1-3,1,1,1,1,1,1,1
0_user21_4-2-1,0,Wash_face,user21,4-2-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\4-2-1,7,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\4-2-1,7,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\4-2-1,17,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\4-2-1,7,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\4-2-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\4-2-1,1,1,1,1,1,1,1
0_user21_4-2-2,0,Wash_face,user21,4-2-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\4-2-2,6,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\4-2-2,6,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\4-2-2,5,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\4-2-2,6,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\4-2-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\4-2-2,1,1,1,1,1,1,1
0_user21_4-2-3,0,Wash_face,user21,4-2-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\4-2-3,9,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\4-2-3,9,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\4-2-3,15,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\4-2-3,9,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\4-2-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\4-2-3,1,1,1,1,1,1,1
0_user22_1-1-2,0,Wash_face,user22,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user22\1-1-2,25,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user22\1-1-2,25,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user22\1-1-2,62,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user22\1-1-2,25,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user22\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user22\1-1-2,1,1,1,1,1,1,1
0_user22_1-1-3,0,Wash_face,user22,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user22\1-1-3,8,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user22\1-1-3,8,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user22\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user22\1-1-3,8,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user22\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user22\1-1-3,1,1,1,1,1,1,1
0_user22_2-2-1,0,Wash_face,user22,2-2-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user22\2-2-1,17,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user22\2-2-1,17,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user22\2-2-1,39,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user22\2-2-1,17,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user22\2-2-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user22\2-2-1,1,1,1,1,1,1,1
0_user22_2-2-2,0,Wash_face,user22,2-2-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user22\2-2-2,13,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user22\2-2-2,13,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user22\2-2-2,31,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user22\2-2-2,13,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user22\2-2-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user22\2-2-2,1,1,1,1,1,1,1
0_user22_2-2-3,0,Wash_face,user22,2-2-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user22\2-2-3,4,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user22\2-2-3,4,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user22\2-2-3,8,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user22\2-2-3,4,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user22\2-2-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user22\2-2-3,1,1,1,1,1,1,1
0_user23_1-1-1,0,Wash_face,user23,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user23\1-1-1,43,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user23\1-1-1,43,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user23\1-1-1,105,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user23\1-1-1,43,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user23\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user23\1-1-1,1,1,1,1,1,1,1
0_user23_1-1-2,0,Wash_face,user23,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user23\1-1-2,19,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user23\1-1-2,19,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user23\1-1-2,46,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user23\1-1-2,19,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user23\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user23\1-1-2,1,1,1,1,1,1,1
0_user23_1-1-3,0,Wash_face,user23,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user23\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user23\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user23\1-1-3,49,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user23\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user23\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user23\1-1-3,1,1,1,1,1,1,1
0_user24_6-2-1,0,Wash_face,user24,6-2-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\6-2-1,35,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\6-2-1,35,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\6-2-1,90,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\6-2-1,35,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\6-2-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\6-2-1,1,1,1,1,1,1,1
0_user24_6-2-2,0,Wash_face,user24,6-2-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\6-2-2,26,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\6-2-2,26,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\6-2-2,61,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\6-2-2,26,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\6-2-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\6-2-2,1,1,1,1,1,1,1
0_user24_6-2-3,0,Wash_face,user24,6-2-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\6-2-3,17,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\6-2-3,17,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\6-2-3,40,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\6-2-3,17,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\6-2-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\6-2-3,1,1,1,1,1,1,1
0_user24_7-1-1,0,Wash_face,user24,7-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\7-1-1,31,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\7-1-1,31,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\7-1-1,74,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\7-1-1,31,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\7-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\7-1-1,1,1,1,1,1,1,1
0_user24_7-1-2,0,Wash_face,user24,7-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\7-1-2,15,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\7-1-2,15,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\7-1-2,64,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\7-1-2,15,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\7-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\7-1-2,1,1,1,1,1,1,1
0_user24_7-1-3,0,Wash_face,user24,7-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user24\7-1-3,21,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user24\7-1-3,21,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user24\7-1-3,50,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user24\7-1-3,21,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user24\7-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user24\7-1-3,1,1,1,1,1,1,1
0_user4_1-1-1,0,Wash_face,user4,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user4\1-1-1,42,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user4\1-1-1,42,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user4\1-1-1,118,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user4\1-1-1,42,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user4\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user4\1-1-1,1,1,1,1,1,1,1
0_user4_1-1-2,0,Wash_face,user4,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user4\1-1-2,63,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user4\1-1-2,63,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user4\1-1-2,154,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user4\1-1-2,63,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user4\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user4\1-1-2,1,1,1,1,1,1,1
0_user4_1-1-3,0,Wash_face,user4,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user4\1-1-3,31,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user4\1-1-3,31,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user4\1-1-3,75,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user4\1-1-3,31,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user4\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user4\1-1-3,1,1,1,1,1,1,1
0_user5_1-1-1,0,Wash_face,user5,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user5\1-1-1,40,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user5\1-1-1,40,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user5\1-1-1,1,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user5\1-1-1,40,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user5\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user5\1-1-1,1,1,1,1,1,1,1
0_user5_1-1-2,0,Wash_face,user5,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user5\1-1-2,38,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user5\1-1-2,38,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user5\1-1-2,96,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user5\1-1-2,38,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user5\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user5\1-1-2,1,1,1,1,1,1,1
0_user5_1-1-3,0,Wash_face,user5,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user5\1-1-3,30,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user5\1-1-3,30,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user5\1-1-3,73,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user5\1-1-3,30,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user5\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user5\1-1-3,1,1,1,1,1,1,1
0_user6_1-1-1,0,Wash_face,user6,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user6\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user6\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user6\1-1-1,88,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user6\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user6\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user6\1-1-1,1,1,1,1,1,1,1
0_user6_1-1-2,0,Wash_face,user6,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user6\1-1-2,45,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user6\1-1-2,45,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user6\1-1-2,122,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user6\1-1-2,45,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user6\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user6\1-1-2,1,1,1,1,1,1,1
0_user6_1-1-3,0,Wash_face,user6,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user6\1-1-3,34,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user6\1-1-3,34,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user6\1-1-3,85,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user6\1-1-3,34,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user6\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user6\1-1-3,1,1,1,1,1,1,1
0_user8_1-1-1,0,Wash_face,user8,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user8\1-1-1,26,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user8\1-1-1,26,,0,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user8\1-1-1,26,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user8\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user8\1-1-1,1,1,1,0,1,1,1
0_user8_1-1-2,0,Wash_face,user8,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user8\1-1-2,24,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user8\1-1-2,24,,0,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user8\1-1-2,24,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user8\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user8\1-1-2,1,1,1,0,1,1,1
0_user8_1-1-3,0,Wash_face,user8,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user8\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user8\1-1-3,18,,0,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user8\1-1-3,18,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user8\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user8\1-1-3,1,1,1,0,1,1,1
0_user8_7-1-1,0,Wash_face,user8,7-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user8\7-1-1,25,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user8\7-1-1,25,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user8\7-1-1,35,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user8\7-1-1,25,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user8\7-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user8\7-1-1,1,1,1,1,1,1,1
0_user8_7-1-2,0,Wash_face,user8,7-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user8\7-1-2,28,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user8\7-1-2,28,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user8\7-1-2,41,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user8\7-1-2,28,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user8\7-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user8\7-1-2,1,1,1,1,1,1,1
